Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp
NGC_2682,604920927889929000,0.93593633,132.8027738,11.84,1.203,13.486864,0.749413
NGC_2682,604906290641340000,0.93562283,133.0114538,11.77,1.175,13.031916,0.744456
NGC_2682,604920653012017000,0.93560741,132.8319846,11.83,1.123,15.434878,1.046214
NGC_2682,604916594267287000,0.93537323,132.8767086,11.78,1.109,17.182396,1.700138
NGC_2682,604904332136282000,0.93533502,132.9247192,11.73,1.154,12.564291,0.740595
NGC_2682,604922061761108000,0.9326681,132.7741982,11.89,1.162,14.857274,0.936153
NGC_2682,604916426764198000,0.93168753,132.8722612,11.76,1.197,12.669828,1.085078
NGC_2682,604919789722799000,0.9313625,132.9126599,11.88,1.13,15.21375,1.188615
NGC_2682,604915602131976000,0.93021625,132.7223006,11.82,1.172,14.967095,0.954651
NGC_2682,604915322956791000,0.92951668,132.6699175,11.8,1.17,12.700096,0.7073685
NGC_2682,604919725299047000,0.92912132,132.9193834,11.87,1.121,16.304115,1.606467
NGC_2682,604910310730773000,0.92899153,132.8754949,11.73,1.139,12.992477,0.755086
NGC_2682,604923947251367000,0.92800397,132.8612649,11.94,1.161,15.458443,1.352605
NGC_2682,604905053690766000,0.92753181,132.9703592,11.78,1.138,15.615606,1.331733
NGC_2682,604919789722800000,0.92535829,132.9169393,11.88,1.167,13.6506815,0.7605655
NGC_2682,604918213470565000,0.92469669,132.9076485,11.85,1.135,13.323231,0.74469
NGC_2682,604916426764196000,0.92373829,132.8822482,11.75,1.122,15.260983,1.032949
NGC_2682,604917045239469000,0.92122377,132.9126632,11.8,1.153,13.555792,0.823344
NGC_2682,604906737317927000,0.91894684,133.0297294,11.82,1.157,13.264436,0.740324
NGC_2682,604917217038188000,0.91821694,132.8398005,11.77,1.183,11.146684,1.215484
NGC_2682,604916422468465000,0.91638294,132.8801036,11.76,1.15,12.476053,0.751639
NGC_2682,604918763226359000,0.91411293,132.9957358,11.85,1.146,14.967571,0.97196
NGC_2682,604917831219175000,0.91402451,132.8773195,11.82,1.181,13.156977,0.78901
NGC_2682,604910379450263000,0.91049905,132.8409453,11.72,1.132,14.33254,0.832008
NGC_2682,604910688687929000,0.91049905,132.755418,11.7,1.137,13.357633,0.725156
NGC_2682,604916010151555000,0.91000708,132.7280289,11.85,1.149,13.392233,0.730171
NGC_2682,604914949295283000,0.90789552,132.7533062,11.81,1.13,14.453478,0.856266
NGC_2682,604898009944444000,0.90751828,132.8982921,11.66,1.144,16.652458,1.47707
NGC_2682,604917934296938000,0.90494302,132.9268334,11.83,1.172,12.405653,0.762616
