Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp,,,,,
NGC_2477,5538493957520830000,0.90101216,117.9972015,-38.56,0.6902,14.320256,0.8365005,,,,,
NGC_2477,5538493953214560000,0.90063472,118.0065898,-38.57,0.6907,12.681619,0.711826,,,,,
NGC_2477,5538507117300640000,0.90024494,117.9083578,-38.47,0.6909,15.653988,1.165008,,,,,
NGC_2477,5538864973974690000,0.8998126,118.1013332,-38.62,0.7007,15.444725,1.066399,,,,,
NGC_2477,5538494129319280000,0.89971796,117.8948822,-38.62,0.6837,13.342156,0.81142,,,,,
NGC_2477,5538866451439250000,0.89910572,118.1285497,-38.54,0.6912,19.289154,2.104956,,,,,
NGC_2477,5538864866590300000,0.8987785,118.1050544,-38.64,0.6922,12.430058,0.889519,,,,,
NGC_2477,5538116137838030000,0.89860738,118.2463058,-38.59,0.6906,14.6435375,1.087454,,,,,
NGC_2477,5538870883852560000,0.89759877,118.0599498,-38.42,0.6839,15.3406925,1.094346,,,,,
NGC_2477,5538869097143370000,0.89667132,118.0374748,-38.54,0.6954,14.15995,0.868371,,,,,
NGC_2477,5538869200222510000,0.89630456,118.0511739,-38.54,0.7121,15.352802,1.04285,,,,,
NGC_2477,5538494159373930000,0.89379033,117.9065762,-38.59,0.6887,15.453514,1.098889,,,,,
NGC_2477,5538866417083590000,0.89352688,118.1607019,-38.54,0.6837,13.782804,0.7706,,,,,
NGC_2477,5538866554522580000,0.89333386,118.1120577,-38.53,0.7033,11.73423,1.420434,,,,,
NGC_2477,5538869475100430000,0.89190886,118.015812,-38.52,0.6871,15.530898,1.050564,,,,,
NGC_2477,5538490624626080000,0.89179645,118.0416816,-38.63,0.7098,14.86059,0.9855815,,,,,
NGC_2477,5538869749978250000,0.89143953,118.0883734,-38.5,0.679,14.608401,1.097623,,,,,
NGC_2477,5538869303301750000,0.89143953,118.0202584,-38.54,0.6749,12.87819,0.72112,,,,,
NGC_2477,5538490349750290000,0.89028468,118.0617175,-38.65,0.6881,10.8626585,1.631366,,,,,
NGC_2477,5538869956136680000,0.88982952,118.0750208,-38.48,0.7054,12.289194,1.435784,,,,,
NGC_2477,5538870574612050000,0.88967477,117.9816069,-38.46,0.6697,17.732176,1.573222,,,,,
NGC_2477,5538494399892170000,0.88930275,117.8702225,-38.58,0.7125,16.576342,1.238567,,,,,
NGC_2477,5538869505154960000,0.88868133,118.0327041,-38.5,0.709,12.046655,1.46896,,,,,
NGC_2477,5538870231014670000,0.88765077,118.0085351,-38.5,0.7123,15.85936,1.238794,,,,,
NGC_2477,5538870196654940000,0.88745975,117.9964777,-38.5,0.6873,15.005876,1.007581,,,,,
NGC_2477,5538865214492780000,0.88704235,118.1664574,-38.61,0.6965,13.117217,0.7982315,,,,,
NGC_2477,5538494232391930000,0.8869271,117.9398003,-38.59,0.7097,16.159338,1.310774,,,,,
NGC_2477,5538113217260280000,0.88674048,118.2782978,-38.69,0.6828,13.999937,1.053402,,,,,
NGC_2477,5538116034758800000,0.88674048,118.2768484,-38.58,0.6898,15.716982,1.257974,,,,,
NGC_2477,5538493682642920000,0.8865658,118.0270424,-38.59,0.6944,11.252105,1.462568,,,,,
NGC_2477,5538494644715620000,0.88652571,117.9581291,-38.56,0.6849,15.70345,1.082156,,,,,
NGC_2477,5538493884501170000,0.88607602,117.9713095,-38.57,0.677,13.261218,0.771137,,,,,
NGC_2477,5538490487187120000,0.88597273,118.0159729,-38.65,0.7035,13.966299,0.80062,,,,,
NGC_2477,5538871227446940000,0.88582193,118.1279047,-38.47,0.6918,10.980225,1.6773725,,,,,
NGC_2477,5538866176565510000,0.88566538,118.0711895,-38.55,0.71,14.198964,0.8497205,,,,,
NGC_2477,5538493648283190000,0.88565383,118.0151066,-38.59,0.7121,15.258904,1.022856,,,,,
NGC_2477,5538882325642640000,0.88540805,117.9653008,-38.46,0.6999,14.487391,0.982162,,,,,
NGC_2477,5538871532385950000,0.88521332,118.0950309,-38.44,0.6889,15.792861,1.187671,,,,,
NGC_2477,5538872636196250000,0.88487132,118.0405444,-38.4,0.6912,13.977431,0.93287,,,,,
NGC_2477,5538866004766850000,0.88463787,118.0671715,-38.58,0.668,12.842917,0.715604,,,,,
NGC_2477,5538865072748730000,0.88423727,118.1209455,-38.61,0.6911,12.343242,0.746905,,,,,
NGC_2477,5538490384108160000,0.88423727,118.0662,-38.64,0.6883,15.1944065,1.037037,,,,,
NGC_2477,5538865489370710000,0.88390541,118.1303597,-38.59,0.6737,14.267057,0.9183105,,,,,
NGC_2477,5538869814392600000,0.88373635,118.0668321,-38.51,0.7001,11.725192,1.4771345,,,,,
NGC_2477,5538870540252290000,0.88373635,118.0054905,-38.46,0.7031,12.939647,0.830905,,,,,
NGC_2477,5538866039126610000,0.88348985,118.0461693,-38.59,0.6925,15.40462,1.131325,,,,,
NGC_2477,5538865248852520000,0.88308561,118.1606052,-38.6,0.6897,11.570059,1.427026,,,,,
NGC_2477,5538870780770400000,0.88245436,118.0620965,-38.45,0.6746,14.538195,0.952306,,,,,
NGC_2477,5538864664737050000,0.88222268,118.113323,-38.65,0.6832,14.753298,1.084188,,,,,
NGC_2477,5538865111413590000,0.88181353,118.1246383,-38.59,0.71,13.603281,0.761812,,,,,
NGC_2477,5538867134336290000,0.88181073,118.1808726,-38.55,0.7018,17.538218,1.516494,,,,,
NGC_2477,5538116240917230000,0.88150443,118.2659037,-38.58,0.6815,16.271755,1.309817,,,,,
NGC_2477,5538493270326130000,0.88149685,117.9374499,-38.62,0.7061,15.405325,1.065694,,,,,
NGC_2477,5538882669240020000,0.88146573,117.9317036,-38.42,0.69,15.1878195,1.116691,,,,,
NGC_2477,5538494232400660000,0.88030879,117.9384998,-38.58,0.6658,14.233204,0.889585,,,,,
NGC_2477,5538494021935310000,0.87968743,117.9956156,-38.54,0.6891,17.003117,1.333601,,,,,
NGC_2477,5538869784337960000,0.87917484,118.1030053,-38.47,0.7031,14.7926235,1.084695,,,,,
NGC_2477,5538882600520490000,0.87894991,117.9554104,-38.43,0.6913,13.678539,0.829475,,,,,
